0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
380	tower	41.2103541	-8.4387062	1562103140						NA						NA	NA	
381	tower	41.2118418	-8.4360813	1562103141						NA						NA	NA	
382	tower	41.2119175	-8.4344083	1562103142						NA						NA	NA	
383	tower	41.1204185	-8.4002899	1568378480						NA						NA	NA	
384	tower	41.1230735	-8.4022358	1568378499						NA						NA	NA	
385	tower	41.1257391	-8.4042338	1568378506						NA						NA	NA	
386	tower	41.1290991	-8.406649	1568378531						NA						NA	NA	
387	tower	41.13338	-8.4098523	1568378536						NA						NA	NA	
388	tower	41.1349973	-8.4127723	1568378548						NA						NA	NA	
389	tower	41.1366985	-8.4158155	1568378556						NA						NA	NA	
390	tower	41.1399334	-8.4218055	1568378561						NA						NA	NA	
391	tower	41.141779	-8.4251474	1568378644						NA						NA	NA	
392	tower	41.1446387	-8.430345	1568378652						NA						NA	NA	
393	tower	41.1467894	-8.4343364	1568378670						NA						NA	NA	
394	tower	41.1487972	-8.4379674	1568378674						NA						NA	NA	
395	tower	41.1513083	-8.4425631	1568378694						NA						NA	NA	
396	tower	41.1529624	-8.4455666	1568378698						NA						NA	NA	
397	tower	41.1540946	-8.4476078	1568378731						NA						NA	NA	
398	tower	41.1555641	-8.4502932	1568378735						NA						NA	NA	
399	tower	41.1562492	-8.4517401	1568378745						NA						NA	NA	
400	tower	41.1579286	-8.4491733	1568378763						NA						NA	NA	
401	tower	41.1606924	-8.4454886	1568378764						NA						NA	NA	
402	tower	41.1618316	-8.4439598	1568378769						NA						NA	NA	
403	tower	41.164139	-8.4409854	1568378852						NA						NA	NA	
404	tower	41.1664297	-8.4379129	1568378860						NA						NA	NA	
405	tower	41.1681793	-8.4355504	1568378882						NA						NA	NA	
406	tower	41.1701892	-8.432854	1568378890						NA						NA	NA	
407	tower	41.1721666	-8.4302418	1568378902						NA						NA	NA	
408	tower	41.1750373	-8.4264065	1568378906						NA						NA	NA	
409	tower	41.1774375	-8.4232247	1568378916						NA						NA	NA	
